평균기온,강수량,미세먼지
7.2,0.0,24.0
6.8,0.0,35.0
7.2,0.0,42.0
10.1,0.0,46.0
6.7,0.9,50.0
5.8,0.0,50.0
6.1,0.9,50.0
4.2,0.0,16.0
2.8,0.0,28.0
6.5,0.0,41.0
6.9,0.0,39.0
4.3,0.0,33.0
-1.8,0.0,18.0
-0.8,0.0,18.0
-0.2,0.0,18.0
1.1,0.0,26.0
5.4,0.0,50.0
5.9,0.0,36.0
1.8,0.0,21.0
2.6,0.0,51.0
5.7,0.0,47.0
2.7,0.0,18.0
3.3,7.1,17.0
1.9,0.0,15.0
1.6,0.0,27.0
3.0,0.0,46.0
5.0,0.4,54.0
1.8,0.0,38.0
2.1,0.0,49.0
6.0,0.0,66.0
1.7,0.0,23.0
-1.5,0.0,28.0
0.6,0.3,39.0
3.7,1.4,22.0
-0.1,0.0,26.0
-5.3,0.0,12.0
-1.1,0.0,26.0
2.1,0.0,32.0
2.9,0.7,44.0
1.1,0.0,37.0
-2.6,0.0,19.0
-5.2,0.0,13.0
-5.2,0.0,16.0
-1.7,0.0,23.0
3.6,0.0,44.0
1.6,0.0,22.0
0.5,0.0,21.0
1.2,0.0,35.0
-2.5,0.0,19.0
-1.7,0.0,26.0
2.6,0.0,47.0
-3.6,0.0,13.0
-3.1,0.0,23.0
1.2,0.3,32.0
-1.3,0.0,25.0
5.9,0.0,67.0
3.3,0.0,80.0
3.4,0.0,65.0
2.1,0.0,59.0
1.3,0.0,44.0
-3.5,0.0,20.0
-5.7,0.0,18.0
-5.7,0.0,17.0
-2.6,0.0,32.0
-2.1,0.0,31.0
-2.2,0.0,15.0
-2.7,0.0,22.0
-0.4,0.0,28.0
-2.2,0.0,23.0
-1.4,0.0,29.0
-3.0,0.0,20.0
-1.7,0.0,24.0
-1.1,0.0,36.0
-2.7,0.7,33.0
-0.1,0.0,26.0
1.5,0.0,51.0
4.8,0.0,65.0
0.9,0.0,46.0
-3.9,0.0,31.0
-5.8,0.0,20.0
-0.4,0.0,20.0
2.0,0.0,37.0
4.0,0.0,43.0
2.8,0.0,61.0
3.7,0.0,84.0
5.3,0.0,84.0
6.7,0.0,71.0
4.1,0.0,24.0
3.3,0.0,16.0
4.3,0.0,26.0
3.1,0.0,22.0
4.4,0.0,39.0
9.4,0.0,50.0
9.2,0.0,99.0
5.1,0.0,24.0
1.7,10.2,24.0
5.4,0.0,21.0
6.9,0.0,27.0
7.7,0.1,20.0
6.6,0.0,23.0
