000120.KS,99700.0,100800.0,100600.0,97200.0,95700.0,95400.0,94000.0
003490.KS,26350.0,27050.0,25750.0,24850.0,25750.0,27300.0,26050.0
039130.KS,42650.0,42250.0,41100.0,40350.0,40300.0,40150.0,39500.0
008770.KS,65700.0,64200.0,64200.0,62400.0,61100.0,66000.0,62500.0
079160.KS,4815.0,4990.0,4860.0,5040.0,4875.0,4970.0,4900.0
004170.KS,433000.0,428500.0,445500.0,441500.0,482500.0,535000.0,541000.0
003490.KS,26350.0,27050.0,25750.0,24850.0,25750.0,27300.0,26050.0
039130.KS,42650.0,42250.0,41100.0,40350.0,40300.0,40150.0,39500.0
008770.KS,65700.0,64200.0,64200.0,62400.0,61100.0,66000.0,62500.0
079160.KS,4815.0,4990.0,4860.0,5040.0,4875.0,4970.0,4900.0
004170.KS,433000.0,428500.0,445500.0,441500.0,482500.0,535000.0,541000.0
003490.KS,26350.0,27050.0,25750.0,24850.0,25750.0,27300.0,26050.0
039130.KS,42650.0,42250.0,41100.0,40350.0,40300.0,40150.0,39500.0
008770.KS,65700.0,64200.0,64200.0,62400.0,61100.0,66000.0,62500.0
079160.KS,4815.0,4990.0,4860.0,5040.0,4875.0,4970.0,4900.0
004170.KS,433000.0,428500.0,445500.0,441500.0,482500.0,535000.0,541000.0
003490.KS,26350.0,27050.0,25750.0,24850.0,25750.0,27300.0,26050.0
039130.KS,42650.0,42250.0,41100.0,40350.0,40300.0,40150.0,39500.0
008770.KS,65700.0,64200.0,64200.0,62400.0,61100.0,66000.0,62500.0
079160.KS,4815.0,4990.0,4860.0,5040.0,4875.0,4970.0,4900.0
004170.KS,433000.0,428500.0,445500.0,441500.0,482500.0,535000.0,541000.0
