평균기온,강수량,미세먼지
-0.7,0.0,29.0
2.6,10.8,21.0
2.8,0.0,26.0
-3.6,0.0,26.0
-8.2,0.0,18.0
-2.6,0.0,29.0
3.2,0.6,42.0
4.9,0.3,60.0
-0.5,0.0,19.0
-5.6,0.0,21.0
-7.4,0.0,18.0
-8.0,0.0,25.0
-4.7,0.0,34.0
0.2,0.0,42.0
-1.9,0.4,33.0
-0.9,0.0,33.0
-0.2,0.0,41.0
-5.1,0.0,29.0
-0.3,0.0,32.0
2.0,1.7,61.0
-6.7,0.0,20.0
-3.8,20.7,26.0
-3.3,0.0,28.0
-3.3,0.0,22.0
4.7,0.0,74.0
3.6,0.0,101.0
0.2,0.0,62.0
0.4,0.0,41.0
-3.9,1.0,45.0
-8.4,0.0,30.0
-9.7,0.0,29.0
-9.1,0.0,22.0
-5.0,2.2,31.0
-5.3,0.0,31.0
-6.0,0.0,22.0
-4.2,0.0,35.0
-4.4,0.0,41.0
-5.4,0.0,33.0
-5.2,0.0,30.0
-6.4,0.0,39.0
-4.1,0.0,41.0
-2.0,0.0,35.0
-2.1,2.4,38.0
-0.9,0.0,36.0
2.8,0.0,64.0
3.6,0.0,80.0
-6.0,0.0,90.0
-8.1,0.0,41.0
-8.2,0.0,27.0
-3.1,0.0,29.0
1.4,0.8,50.0
2.7,0.0,74.0
2.8,0.0,68.0
5.3,0.0,95.0
7.8,0.0,105.0
6.6,0.0,64.0
2.4,0.0,36.0
1.7,0.0,28.0
2.4,0.0,38.0
2.1,0.0,28.0
6.3,0.0,46.0
10.7,0.0,54.0
8.4,0.0,89.0
1.8,0.0,29.0
2.8,0.0,38.0
7.4,0.0,42.0
8.3,0.0,33.0
9.6,0.0,17.0
9.3,0.0,24.0
9.1,0.0,22.0
4.9,12.2,6.0
5.9,1.3,6.0
6.0,0.0,27.0
6.0,15.5,50.0
1.9,0.0,42.0
1.0,0.0,32.0
2.0,0.0,34.0
4.5,0.0,58.0
3.9,0.0,52.0
4.5,0.0,45.0
7.1,0.0,51.0
7.6,0.0,24.0
8.1,0.0,27.0
7.4,0.1,51.0
7.4,0.0,71.0
8.8,0.0,82.0
6.8,4.8,56.0
6.1,0.0,34.0
7.5,0.0,43.0
8.4,0.0,55.0
11.0,0.0,45.0
11.9,0.0,56.0
12.9,0.0,54.0
12.8,0.0,47.0
12.1,0.0,66.0
11.4,0.0,85.0
12.2,0.0,69.0
13.6,0.0,54.0
16.0,11.0,54.0
14.2,8.2,25.0
